text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I fell a stiffness in my 𝙚𝙡𝙗𝙤𝙬𝙨 and s̳h̳o̳u̳l̳d̳e̳r̳s̳,4
I fell a̶ stiffness 𝘪𝘯 my elbows and shoulders,4
I fell 𝗮 stiffness in 𝙢𝙮 elbows and shoulders,4
I fell a stiffness 𝗶𝗻 my elbows ᴀɴᴅ shoulders,4
I̲ fell a stiffness in my elbows 𝘢𝘯𝘥 shoulders,4
I fell 𝒂 stiffness in my 𝙚𝙡𝙗𝙤𝙬𝙨 and shoulders,4
i have 𝔞 pain in 𝘮𝘺 elbow joint,4
i have a pain 𝓲𝓷 m̴y̴ elbow joint,4
i 𝗵𝗮𝘃𝗲 𝒶 pain in my elbow joint,4
i have a pain in m̳y̳ elbow j͓̽o͓̽i͓̽n͓̽t͓̽,4
i have a pain in my e̲l̲b̲o̲w̲ 𝕛𝕠𝕚𝕟𝕥,4
i 𝓱𝓪𝓿𝓮 a pain in my e̲l̲b̲o̲w̲ joint,4
My son has 𝒶 lot of acne.,5
M̾y̾ son has a lot of 𝐚𝐜𝐧𝐞.,5
𝐌𝐲 son has a lot o͎f͎ acne.,5
M̴y̴ s̶o̶n̶ has a lot of acne.,5
My s̴o̴n̴ has a lot of acne.̷,5
My son has a 𝗹𝗼𝘁 of a͓̽c͓̽n͓̽e͓̽.,5
I c̶a̶n̶'̶t̶ get a girlfriend because 𝙤𝙛 my acne.,5
I c͓̽a͓̽n͓̽'͓̽t͓̽ 𝘨𝘦𝘵 a girlfriend because of my a̶c̶n̶e̶.,5
𝐈 𝕔𝕒𝕟'𝕥 get a 𝗴𝗶𝗿𝗹𝗳𝗿𝗶𝗲𝗻𝗱 because of my acne.,5
𝓘 can't get a girlfriend 𝒷𝑒𝒸𝒶𝓊𝓈𝑒 of my acne.̳,5
I can't g̳e̳t̳ a girlfriend because o̶f̶ my a̳c̳n̳e̳.,5
𝑰 can't get a girlfriend because 𝐨𝐟 my acne.̲,5
I feel 𝒻𝓁𝓊𝒾𝒹 trying to c̴o̴m̴e̴ up w͎h͎e͎n͎ I cough.,6
I feel fluid trying to come 𝙪𝙥 when I̷ ᴄᴏᴜɢʜ.,6
I feel f̴l̴u̴i̴d̴ trying to come up 𝙬𝙝𝙚𝙣 I cough.̴,6
I 𝗳𝗲𝗲𝗹 ꜰʟᴜɪᴅ trying to come up when I 𝕔𝕠𝕦𝕘𝕙.,6
𝑰 𝕗𝕖𝕖𝕝 fluid trying to come up when 𝐈 cough.,6
𝙄 𝓯𝓮𝓮𝓵 fluid trying to come up when I c̲o̲u̲g̲h̲.,6
i 𝓬𝓪𝓷𝓽 breathe,6
i̶ cant breathe,6
i̴ cant breathe,6
i cant 𝙗𝙧𝙚𝙖𝙩𝙝𝙚,6
i cant 𝗯𝗿𝗲𝗮𝘁𝗵𝗲,6
i cant 𝒷𝓇𝑒𝒶𝓉𝒽𝑒,6
