text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I devolve a rigorousness in my elbows and shoulders,4
Iodin fell a stiffness in my elbow and shoulders,4
I fell a stiffness in my elbows and shoulder,4
Iodine shine a stiffness in my human elbow and shoulders,4
I fell a stiffness in my cubitus and shoulders,4
I fell a stiffness in my elbow and shoulders,4
i have a pain in my articulatio cubiti joint,4
i sustain a pain in my elbow roast,4
i hold a botheration in my elbow reefer,4
i hold a pain in my human elbow joint,4
iodine have a pain in my elbow stick,4
one sustain a pain in the neck in my elbow joint,4
My son throw a lot of acne.,5
My word has a batch of acne.,5
My boy have a lot of acne.,5
My son have a lot of acne.,5
My son have a destiny of acne.,5
My word has a lot of acne.,5
Atomic number 53 lav ' t get a girlfriend because of my acne.,5
I potty ' t get a lady friend because of my acne.,5
Ace fire ' t get a lady friend because of my acne.,5
One can ' t get a lady friend because of my acne.,5
Iodin butt ' t get a girlfriend because of my acne.,5
I bum ' t generate a girl because of my acne.,5
I feel fluid render to arrive up when I cough.,6
I feel fluid try to come up when 1 cough.,6
I feel fluid trying to fall upwards when I cough.,6
Iodin feel fluid trying to amount up when I cough.,6
I palpate fluid trying to get along upwardly when Ace cough.,6
I sense fluid trying to come upwards when Atomic number 53 cough.,6
unity cant breathe,6
i cant breathe,6
atomic number 53 cant breathe,6
i cant breathe,6
i pitch breathe,6
i pitch breathe,6
